Event,Site,Date,White,Black,Result,WhiteElo,BlackElo,ECO,Opening,Termination
Casual rapid game,https://lichess.org/DH9R6xBZ,2023.03.30,benjapuelles,peterchero,0-1,1500,1502,A00,,Time forfeit
Casual blitz game,https://lichess.org/A94ioTUr,2024.09.02,elliotsimpson_hf,peterchero,0-1,1217,1415,D77,,Normal
Rated blitz game,https://lichess.org/5QWqHtsL,2023.03.29,Batur12412,peterchero,0-1,1108,1141,C25,,Normal
Rated blitz game,https://lichess.org/op0gSzKR,2023.03.29,TiggaPersh,peterchero,1-0,1149,1150,A04,,Normal
Rated bullet game,https://lichess.org/dvLRYrON,2023.03.28,egegundogan,peterchero,0-1,1276,1274,A25,,Normal
Rated blitz game,https://lichess.org/uyiBZ8Zz,2023.03.28,jbaniwas,peterchero,1-0,1144,1152,C50,,Time forfeit
Rated blitz game,https://lichess.org/XrVNVttk,2023.03.26,itsmeyaser1,peterchero,0-1,993,1138,C45,,Normal
Rated blitz game,https://lichess.org/vKaXiysD,2023.03.26,BOODY2120,peterchero,0-1,1015,1131,C44,,Normal
Rated blitz game,https://lichess.org/kC02DLuu,2023.03.26,BOODY2120,peterchero,0-1,1024,1116,C44,,Normal
Rated blitz game,https://lichess.org/fnl4zZ20,2023.03.25,marconev,peterchero,0-1,1088,1108,D00,,Time forfeit
Rated blitz game,https://lichess.org/4Tr4Qk6x,2023.03.25,ngey,peterchero,1-0,1080,1114,C41,,Normal
Rated blitz game,https://lichess.org/0VGT4ERf,2023.03.25,Carnyx,peterchero,1/2-1/2,1183,1104,C41,,Normal
Casual rapid game,https://lichess.org/523blcRJ,2024.08.29,serhzik,peterchero,1/2-1/2,1500,1507,C29,,Time forfeit
Casual blitz game,https://lichess.org/ScWbhvwK,2023.03.25,StrongerThenYou,peterchero,0-1,1211,1104,C20,,Normal
Rated bullet game,https://lichess.org/dD2hKuK1,2023.03.24,getpost,peterchero,1-0,1217,1280,D06,,Time forfeit
Rated blitz game,https://lichess.org/jPsPFfGk,2023.03.24,XsyxSonic1,peterchero,0-1,1083,1091,C53,,Time forfeit
Rated blitz game,https://lichess.org/mC3I0JUI,2023.03.24,bucchin,peterchero,0-1,1171,1083,A00,,Time forfeit
Rated blitz game,https://lichess.org/xH3gxR28,2023.03.24,Zezo-BekoEgypt,peterchero,0-1,1087,1068,C20,,Time forfeit
Rated blitz game,https://lichess.org/e71ncRUQ,2023.03.24,Shihani_95,peterchero,1-0,1043,1066,C34,,Normal
Rated blitz game,https://lichess.org/xdTMBKsA,2023.03.24,zotny,peterchero,1/2-1/2,1023,1053,A01,,Normal
Casual bullet game,https://lichess.org/mfTalttC,2023.03.18,BingoBongo987,peterchero,1-0,1272,1290,C25,,Normal
