Event,Site,Date,White,Black,Result,WhiteElo,BlackElo,ECO,Opening,Termination
Rated blitz game,https://lichess.org/7Q4LfGPl,2023.01.25,peterchero,onklchris,1-0,1038,994,D02,,Normal
Rated blitz game,https://lichess.org/ErysWQ5v,2023.01.25,peterchero,vjMagar,1-0,1042,933,A40,,Normal
Rated blitz game,https://lichess.org/N4gjRzCQ,2023.01.25,peterchero,Insecto35,0-1,1076,999,A04,,Time forfeit
Rated blitz game,https://lichess.org/aZYrdilo,2024.10.17,takestakestake,peterchero,1-0,1385,1439,C65,,Normal
Casual blitz game,https://lichess.org/oCBXvUAL,2024.06.22,karat2,peterchero,0-1,1912,1415,A27,,Normal
Rated blitz game,https://lichess.org/n7EIP7vU,2023.01.25,peterchero,Gaelopo,1-0,1085,945,A04,,Normal
Rated blitz game,https://lichess.org/j3Bj5UcV,2023.01.25,peterchero,dilya_m,1-0,1100,1091,D02,,Normal
Casual bullet game,https://lichess.org/WjkKWrf4,2023.01.25,peterchero,malapaka,1-0,1274,1530,A04,,Normal
Casual rapid game,https://lichess.org/FTdZVUMy,2023.01.25,peterchero,bertazzoo,0-1,1322,1500,A04,,Normal
Casual blitz game,https://lichess.org/qVX1KOma,2023.01.25,peterchero,cjm3,0-1,1100,1102,D02,,Normal
Casual blitz game,https://lichess.org/hl1m1AHd,2023.01.24,peterchero,WOLF_ALBERTO,1-0,1100,1217,A40,,Normal
Casual rapid game,https://lichess.org/nkofYztg,2023.01.24,peterchero,Valencia636,0-1,1322,1556,A04,,Time forfeit
Casual blitz game,https://lichess.org/U7wRJbFh,2023.01.24,peterchero,Alibaburr,1-0,1100,1144,A04,,Normal
Casual rapid game,https://lichess.org/UxTZYTxG,2023.01.24,peterchero,Ronarm312,1-0,1322,1201,A04,,Normal
Casual rapid game,https://lichess.org/vcTnY7Ok,2023.01.24,peterchero,armagan_2013,1-0,1322,1090,D02,,Time forfeit
Casual blitz game,https://lichess.org/jMopLUrg,2024.06.22,Zoopam,peterchero,1-0,1470,1415,A40,,Normal
Casual blitz game,https://lichess.org/wBh31eoK,2023.01.23,peterchero,radis1980,1-0,1100,1048,A03,,Normal
Casual rapid game,https://lichess.org/uluqQFP0,2023.01.20,peterchero,agp3,0-1,1322,1348,A04,,Time forfeit
Casual rapid game,https://lichess.org/LSV7XwtG,2023.01.20,peterchero,someoneisdivakar,1-0,1322,1035,B06,,Normal
Casual rapid game,https://lichess.org/RKu298q9,2023.01.20,peterchero,varavaika,0-1,1322,1011,A04,,Normal
Casual rapid game,https://lichess.org/ytMgcE50,2023.01.19,peterchero,aapoo,1-0,1322,1061,D02,,Normal
Casual classical game,https://lichess.org/h56XqRlJ,2023.01.19,peterchero,eggbutnobacon,0-1,1500,1244,A04,,Normal
Rated blitz game,https://lichess.org/qS3AlDJc,2023.01.18,peterchero,guillermoso,0-1,1136,1136,A07,,Time forfeit
Rated bullet game,https://lichess.org/zeURit6x,2023.01.18,peterchero,Ced724,0-1,1306,1300,C50,,Normal
Casual rapid game,https://lichess.org/chzuF3o1,2023.01.18,peterchero,williamhany593,1-0,1322,1194,A04,,Normal
Rated blitz game,https://lichess.org/ExP9vBS3,2023.01.04,peterchero,scaccomattooooo,1-0,1075,969,C30,,Normal
Casual blitz game,https://lichess.org/tZNBdcm5,2024.06.22,PuGgLeS,peterchero,1-0,1571,1415,C34,,Normal
Casual blitz game,https://lichess.org/c1JNCvw5,2022.12.29,peterchero,gtpraveenkumarhp,0-1,1075,1393,B23,,Normal
Casual bullet game,https://lichess.org/z6VUr27o,2022.12.29,peterchero,DESIGNER60,0-1,1306,1306,B01,,Normal
Casual blitz game,https://lichess.org/JxhZLf2v,2022.12.29,peterchero,apcule,0-1,1075,1107,B88,,Normal
Casual bullet game,https://lichess.org/pzHSPVkc,2022.12.29,peterchero,sexygirl17f,0-1,1306,1446,C23,,Normal
Casual blitz game,https://lichess.org/5tihoiv6,2022.12.29,peterchero,gunn9197,1-0,1075,1035,C34,,Normal
Casual blitz game,https://lichess.org/CSVKgZY9,2022.12.29,peterchero,rockens,1-0,1075,1396,A04,,Time forfeit
Casual rapid game,https://lichess.org/mWZzCJo9,2022.12.16,peterchero,GoGoJa,0-1,1322,1393,A04,,Normal
Casual blitz game,https://lichess.org/7Tij4elY,2022.12.16,peterchero,Miha23,0-1,1075,1410,A46,,Time forfeit
Casual blitz game,https://lichess.org/W608ssHx,2022.12.09,peterchero,iq7o9,1-0,1075,1245,D02,,Normal
Casual blitz game,https://lichess.org/MnQWzkZw,2022.12.09,peterchero,nilu2108,1-0,1075,1211,A04,,Normal
Casual rapid game,https://lichess.org/5jJV5aWj,2024.06.17,HongT221,peterchero,0-1,1394,1507,D00,,Normal
Casual blitz game,https://lichess.org/8TZu6UIm,2022.12.07,peterchero,Tigr_King,1-0,1075,1205,D02,,Normal
Casual bullet game,https://lichess.org/chHktkaj,2022.12.07,peterchero,yeebey,0-1,1306,973,A40,,Normal
Casual classical game,https://lichess.org/9wqYeVsI,2022.12.07,peterchero,baqeri2008,0-1,1500,1457,A04,,Time forfeit
Casual classical game,https://lichess.org/DSPBazup,2022.12.02,peterchero,creek1,0-1,1500,1420,A06,,Time forfeit
Casual bullet game,https://lichess.org/QAl83954,2022.12.02,peterchero,luigi_el_peon,1/2-1/2,1306,1111,D02,,Normal
Casual blitz game,https://lichess.org/xZtqcXWf,2022.12.02,peterchero,jt07,1-0,1075,1044,A04,,Time forfeit
Casual blitz game,https://lichess.org/MUkDR8gw,2022.12.02,peterchero,MiniCapi700,1-0,1075,922,A07,,Normal
Casual bullet game,https://lichess.org/NId2kZHm,2022.12.02,peterchero,Javgonru,1-0,1306,1348,A48,,Normal
Casual bullet game,https://lichess.org/9GZhfLco,2022.12.02,peterchero,ShirtGambit,0-1,1306,1142,A49,,Time forfeit
Casual bullet game,https://lichess.org/eGHQSWm8,2022.12.02,peterchero,ShirtGambit,0-1,1306,1142,D02,,Time forfeit
Casual rapid game,https://lichess.org/np8JYCiS,2024.06.17,rummy1,peterchero,0-1,1500,1507,C20,,Normal
Casual bullet game,https://lichess.org/uEUDTSxo,2022.12.01,peterchero,haltzero,0-1,1306,1005,A40,,Normal
Rated bullet game,https://lichess.org/7xpWB8Xk,2022.11.30,peterchero,avengenator,1-0,1282,1231,A04,,Normal
Rated bullet game,https://lichess.org/ml5QVJcL,2022.11.30,peterchero,menopimezzo,0-1,1313,1308,D02,,Normal
Rated bullet game,https://lichess.org/Fr6aSchT,2022.11.21,peterchero,Medape99,1-0,1282,1275,D02,,Normal
Rated blitz game,https://lichess.org/zhQLjKhh,2022.10.19,peterchero,anuj_talwar1,0-1,1148,1155,D02,,Time forfeit
Rated bullet game,https://lichess.org/QoF7LHLm,2022.10.19,peterchero,Nachtgold,0-1,1311,1325,D02,,Normal
Rated bullet game,https://lichess.org/Is0kloaV,2022.10.18,peterchero,Yaritori,1-0,1235,1235,B23,,Normal
Rated rapid game,https://lichess.org/2sd3fbVM,2022.10.17,peterchero,rockyj,0-1,1500,1219,A46,,Normal
Rated bullet game,https://lichess.org/6qjCaibA,2022.10.16,peterchero,capturologist,0-1,1256,1259,B30,,Time forfeit
Casual blitz game,https://lichess.org/kvkTMLTl,2022.10.14,peterchero,Solokow,0-1,1148,1131,D02,,Time forfeit
Casual blitz game,https://lichess.org/oMiWbOC1,2024.06.17,deathereward,peterchero,1-0,1848,1415,C50,,Normal
Casual blitz game,https://lichess.org/2GN70sX6,2022.10.14,peterchero,carouselman,0-1,1148,1204,A04,,Normal
Casual bullet game,https://lichess.org/z5ItM9uw,2022.10.12,peterchero,Salva1976,1/2-1/2,1256,1148,D02,,Normal
Casual blitz game,https://lichess.org/mS5wnG2d,2022.02.28,peterchero,Rayhan073,1-0,1148,907,D02,,Normal
Casual blitz game,https://lichess.org/AqmLSpVN,2022.02.23,peterchero,carvalhoian,1-0,1148,1275,C30,,Normal
Casual rapid game,https://lichess.org/8NIuxQ3s,2022.02.23,peterchero,ivanmp3,0-1,1500,1805,B08,,Normal
Casual blitz game,https://lichess.org/XqFHx2vb,2022.02.23,peterchero,joewie919,1-0,1148,1156,A40,,Normal
Casual rapid game,https://lichess.org/UnUi481j,2022.02.23,peterchero,ilkerxx,0-1,1500,1500,D02,,Normal
Casual rapid game,https://lichess.org/26uM4tFH,2022.02.22,peterchero,rudolph_botes,0-1,1500,1759,D02,,Normal
Casual rapid game,https://lichess.org/iNOCMGdp,2022.02.21,peterchero,Jalicha,0-1,1500,1622,D02,,Time forfeit
Casual classical game,https://lichess.org/1R6fjPTF,2022.02.21,peterchero,jamal13,1-0,1500,1500,D02,,Time forfeit
Casual bullet game,https://lichess.org/iWL6V9g9,2024.06.16,Matelisto,peterchero,1-0,1340,1400,A01,,Normal
Casual bullet game,https://lichess.org/DOzX3F5B,2022.02.21,peterchero,SmutsGambit,0-1,1342,1325,A46,,Normal
Casual rapid game,https://lichess.org/bsDfI7g0,2022.02.21,peterchero,Aliali77,1-0,1500,1500,A40,,Normal
Rated bullet game,https://lichess.org/XKV5KMsO,2022.02.21,peterchero,intothebluesky,1-0,1285,1288,B30,,Normal
Rated bullet game,https://lichess.org/SK73VGSt,2022.02.20,peterchero,Teeqoz,0-1,1305,1296,C47,,Time forfeit
Rated blitz game,https://lichess.org/AwgEK4Fv,2022.02.20,peterchero,TarekElhanafy,0-1,1156,1131,D02,,Time forfeit
Rated blitz game,https://lichess.org/Q1tMnkM9,2022.02.20,peterchero,YannickW1893,1-0,1092,1073,A07,,Time forfeit
Rated blitz game,https://lichess.org/C3WEnpGq,2022.02.20,peterchero,Timtuer57,0-1,1089,1200,D02,,Normal
Rated bullet game,https://lichess.org/gMa2n6ku,2022.01.26,peterchero,UMsamarth,0-1,1388,1461,A00,,Time forfeit
Rated bullet game,https://lichess.org/51DyUY70,2022.01.26,peterchero,Ananyajain,0-1,1500,1430,D02,,Time forfeit
Casual bullet game,https://lichess.org/64lrjtwj,2021.02.23,peterchero,linustechtips,1-0,1500,1500,B00,,Time forfeit
Casual blitz game,https://lichess.org/HzqHsFUo,2024.06.16,bobbycrusher,peterchero,0-1,1554,1415,A04,,Normal
Casual bullet game,https://lichess.org/YWsGlbk3,2021.02.23,peterchero,linustechtips,1-0,1500,1500,A00,,Normal
Casual bullet game,https://lichess.org/YMsARwVL,2021.02.23,peterchero,linustechtips,1-0,1500,1500,B23,,Normal
Casual bullet game,https://lichess.org/Ws5ZRF34,2021.02.23,peterchero,linustechtips,0-1,1500,1500,C44,,Time forfeit
Casual rapid game,https://lichess.org/wGsMdiFq,2024.06.16,Garigarin,peterchero,1-0,1594,1507,C20,,Normal
Casual blitz game,https://lichess.org/zI6LhQPm,2024.06.16,cronos100,peterchero,1-0,1514,1415,B00,,Normal
Rated blitz game,https://lichess.org/u5eM19Pe,2024.10.17,Az437,peterchero,0-1,1316,1422,D02,,Normal
Casual rapid game,https://lichess.org/bHJQBAaA,2024.06.14,cristianlazarus,peterchero,1-0,1500,1507,C50,,Normal
Rated rapid game,https://lichess.org/nPIV59u7,2024.06.09,New_Pole,peterchero,0-1,1449,1476,A45,,Normal
Rated rapid game,https://lichess.org/zULX2qIL,2024.06.08,Bermatt,peterchero,0-1,1447,1437,C65,,Normal
Rated rapid game,https://lichess.org/TQ0Lnqrq,2024.06.08,evdeoyna,peterchero,1-0,1509,1523,A06,,Normal
Casual blitz game,https://lichess.org/Z3rVoQXd,2024.04.23,hercule-poivrot,peterchero,0-1,1401,1415,C50,,Time forfeit
Casual blitz game,https://lichess.org/njT1UZmD,2024.03.21,karat2,peterchero,1-0,1912,1415,D06,,Normal
Casual rapid game,https://lichess.org/bcnWwUAp,2024.03.21,ehab-24,peterchero,0-1,1545,1484,D00,,Normal
Casual rapid game,https://lichess.org/4e6BLI8b,2024.03.21,Zest17,peterchero,1-0,1553,1484,D00,,Time forfeit
Casual blitz game,https://lichess.org/ZQmNnHdN,2024.03.21,chickengig,peterchero,1-0,1768,1415,C47,,Normal
Casual blitz game,https://lichess.org/i4DbSHXn,2024.03.18,AndreTempera,peterchero,1-0,1434,1415,C47,,Time forfeit
Rated blitz game,https://lichess.org/GAGfajr2,2024.10.15,AnPuig,peterchero,1-0,1442,1422,C42,,Normal
Casual rapid game,https://lichess.org/uiVUJ54J,2024.03.15,DeadSerious,peterchero,1-0,1500,1484,A00,,Normal
Casual classical game,https://lichess.org/AKJ76U0w,2024.03.13,Gramaziengrunt,peterchero,0-1,1500,1500,C43,,Normal
Casual classical game,https://lichess.org/z7HvlEUq,2024.03.12,PABLO-1,peterchero,0-1,1578,1500,C23,,Normal
Casual blitz game,https://lichess.org/bWTGhnvM,2024.03.12,jim_lahey69,peterchero,1-0,1500,1415,C20,,Time forfeit
Casual rapid game,https://lichess.org/Rx72bQ90,2024.03.11,joey131984,peterchero,1-0,1500,1484,D00,,Time forfeit
Casual blitz game,https://lichess.org/GwWUPzKj,2024.03.11,TooMuchIPA,peterchero,1-0,1645,1415,C44,,Normal
Casual rapid game,https://lichess.org/qlQpgFbp,2024.02.29,JulioFunk,peterchero,0-1,1406,1484,E61,,Time forfeit
Casual rapid game,https://lichess.org/Yvg7xgdG,2024.02.28,Lenimois,peterchero,1-0,1856,1484,D20,,Normal
Rated rapid game,https://lichess.org/zrjOzkSh,2024.02.28,germanchis1965,peterchero,1-0,1842,1504,D06,,Normal
Casual blitz game,https://lichess.org/m8ECQObK,2024.02.25,dinglirenfans,peterchero,0-1,1500,1415,C47,,Normal
